framework_id,name,also_known_as,jurisdiction,region,category,type,issuing_body,official_url,source_note,who_must_comply,scope_summary,key_obligations_summary,mandatory_vs_voluntary,certification_or_audit_required,typical_evidence_artifacts,renewal_or_reassessment_cadence,penalties_summary,overlaps_with,subordinate_controls_notes,last_verified_date,research_source_urls
iso9001,ISO 9001,quality management system; QMS,Global,Global,industry,certification,ISO,https://www.iso.org/standard/62085.html,Quality management system requirements,"Manufacturers, service providers and suppliers in quality-gated supply chains, including some enterprise and public-sector tenders.",Covers a quality management system (QMS) for the products and services in the declared scope.,"Requires a process-based QMS with customer focus, documented processes, competence management, nonconformity and corrective action handling, internal audit and management review. Certification is issued by accredited certification bodies. It addresses quality management, not information security.",voluntary,yes,quality manual|process documentation|corrective action records|internal audit reports|management review minutes|certificate,every 3 years with annual surveillance audits,No statutory penalty; loss of certification can remove a supplier from approved vendor lists.,iso27001|iso13485|iso14001,"Clauses 4 to 10 cover context, leadership, planning, support, operation, performance evaluation and improvement.",2026-08-20,https://www.iso.org/iso-9001-quality-management.html|https://www.iso.org/standard/62085.html
iso14001,ISO 14001,environmental management system; EMS,Global,Global,industry,certification,ISO,https://www.iso.org/standard/14001,Environmental management system requirements; current edition ISO 14001:2026,"Organizations with environmental commitments or customers, suppliers and tenders that require certified environmental management.","Covers an environmental management system (EMS) for the activities, products and services in the declared scope.","Requires identification of environmental aspects and compliance obligations, environmental objectives, operational controls, emergency preparedness, internal audit and management review. Certification is issued by accredited certification bodies. It manages environmental performance rather than information security or privacy.",voluntary,yes,environmental policy|aspects and impacts register|legal register|objectives and targets|internal audit reports|management review minutes|certificate,every 3 years with annual surveillance audits,No statutory penalty; loss of certification can affect supplier qualification and tender eligibility.,iso9001|csrd|iso22301,"Management-system clauses 4 to 10 with environmental aspects, compliance obligations and lifecycle perspective requirements.",2026-08-20,https://www.iso.org/iso-14001-environmental-management.html|https://www.iso.org/standard/60857.html
iso13485,ISO 13485,medical devices quality management system,Global,Global,healthcare,certification,ISO,https://www.iso.org/standard/59752.html,Quality management system requirements for medical device organizations,"Medical device manufacturers, and suppliers or software developers in the medical device supply chain, including software as a medical device.",Covers a quality management system for organizations involved in one or more stages of the medical device lifecycle.,"Requires a documented quality management system with design and development controls, risk management across the lifecycle, supplier controls, traceability, complaint handling and regulatory reporting processes. Certification supports regulatory approvals such as EU MDR conformity assessment and is widely expected by notified bodies. It is quality-system focused and does not replace product conformity assessment.",voluntary,yes,quality manual|design history file|risk management file|supplier evaluations|CAPA records|complaint and vigilance records|internal audit reports|certificate,every 3 years with annual surveillance audits,No statutory penalty directly; certification loss can block regulatory approvals and market access.,eu-mdr|eu-ivdr|iso9001|fda-21-cfr-11|us-cgmp,"Management-system clauses aligned with regulatory requirements, including design controls, risk management and post-market processes.",2026-08-20,https://www.iso.org/standard/59752.html|https://www.iso.org/standards.html
iso20000-1,ISO/IEC 20000-1,ISO 20000; IT service management system; SMS,Global,Global,industry,certification,ISO/IEC,https://www.iso.org/standard/70636.html,unverified-review-needed,IT service providers and managed service organizations facing service management requirements in contracts.,Covers a service management system (SMS) for the services in the declared scope.,"Requires a documented service management system with service planning, service level management, incident, problem and change management, and continual improvement. Certification is available from accredited bodies. It complements but does not replace security certifications.",voluntary,sometimes,service catalog|SLAs|incident and change records|service reports|internal audit reports|certificate,every 3 years with annual surveillance audits,unknown,iso27001|soc2|iso9001,"Management-system clauses plus service management process requirements such as SLM, incident, problem, change and release.",2026-08-20,https://www.iso.org/standard/70636.html|https://www.iso.org/standards.html
iso31000,ISO 31000,risk management guidelines,Global,Global,industry,guidance,ISO,https://www.iso.org/standard/65694.html,Risk management principles and guidelines; guidance rather than certifiable requirements,"Organizations building an enterprise risk management approach, often to support other certifications.","Guidance for managing risk across any organization type, size or sector; not scoped to a specific system.","Provides principles, a framework and a process for risk management including identification, analysis, evaluation, treatment, monitoring and communication. It is guidance only and is not certifiable. It is commonly referenced to justify risk methodology in ISO 27001 or SOC 2 programs.",voluntary,no,risk management policy|risk methodology|risk register|risk treatment plan,not applicable,unknown,iso27001|nist-csf|soc2,"Not a control catalog; defines principles, framework and process elements for risk management.",2026-08-20,https://www.iso.org/iso-31000-risk-management.html|https://www.iso.org/standard/65694.html
iec62443,ISA/IEC 62443,IEC 62443; industrial automation and control systems security,Global,Global,industry,standard,ISA and IEC,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards,Series of standards for security of industrial automation and control systems,"Asset owners, system integrators and product suppliers involved in industrial automation and control systems, including OT-connected software vendors.","Covers industrial automation and control systems organized into zones and conduits, with roles for asset owners, integrators and product suppliers.","Defines security program requirements for asset owners, security requirements for integration service providers, secure product development lifecycle requirements for suppliers, and technical system and component security requirements. Security levels 1 to 4 express the strength of protection required for each zone. Certification schemes such as ISASecure and IECEE assess products, processes and systems.",voluntary,sometimes,zone and conduit diagrams|risk assessment|secure development lifecycle documentation|security level target definitions|patch management plan|certification reports,"certification cycles vary by scheme, commonly every 3 years",No statutory penalty in most jurisdictions; frequently required contractually and referenced by sector regulators.,nerc-cip|nis2|iso27001|eu-cra,"Series structure covers general concepts, policies and procedures, system requirements including SR levels, and component requirements, with security levels SL 1 to SL 4.",2026-08-20,https://www.isa.org/standards-and-publications/isa-standards/isa-iec-62443-series-of-standards|https://www.iec.ch/functionalsafety
nist-csf,NIST Cybersecurity Framework,NIST CSF; CSF 2.0,United States,US,security,framework,NIST,https://www.nist.gov/cyberframework,"Voluntary risk-based cybersecurity framework, widely used internationally; CSF 2.0 published 2024","Any organization wanting a common language for cybersecurity risk, frequently used as a baseline by SMBs and as a crosswalk by larger firms.",Voluntary framework applicable to organizations of any size or sector; scope is defined by the organization.,"Organizes cybersecurity outcomes into functions and categories that organizations use to assess current and target profiles. Version 2.0, published in 2024, added the Govern function alongside Identify, Protect, Detect, Respond and Recover. It is outcome-based, so implementation is chosen by the organization and there is no certification.",voluntary,no,current and target profile|gap assessment|risk register|policies|roadmap|control mapping,annual review recommended,No statutory penalty on its own; adopted by reference in some contracts and sector rules.,iso27001|cis-controls|nist-800-53|soc2|nist-800-171,"CSF 2.0 uses six functions (Govern, Identify, Protect, Detect, Respond, Recover), categories, subcategories, plus tiers and profiles; informative references map to other control sets.",2026-08-20,https://www.nist.gov/cyberframework|https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf
nist-800-53,NIST SP 800-53,SP 800-53 Rev. 5; security and privacy controls,United States,US,security,standard,NIST,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,Security and privacy control catalog for federal information systems; basis for FedRAMP baselines,"U.S. federal agencies and their systems, plus cloud providers pursuing FedRAMP and contractors that inherit the baselines.","Applies to federal information systems and organizations, and to non-federal systems where adopted by contract or program such as FedRAMP.","Provides a catalog of security and privacy controls with low, moderate and high baselines selected by system categorization. Control selection is paired with assessment procedures in SP 800-53A. FedRAMP and FISMA programs use tailored baselines drawn from this catalog.",mixed,sometimes,System Security Plan|control implementation statements|assessment reports|POA&M|continuous monitoring reports,continuous monitoring with periodic reassessment,"No direct fine; noncompliance can cause loss of authorization to operate, contract remedies or removal from federal programs.",fedramp|fisma|nist-800-171|stateramp|cmmc,"Twenty control families such as AC, AU, CM, IA, IR, RA, SC and SI, with baselines by impact level and overlays.",2026-08-20,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final|https://csrc.nist.gov/projects/risk-management/sp800-53-controls
nist-800-171,NIST SP 800-171,SP 800-171 Rev. 3; CUI protection,United States,US,security,standard,NIST,https://csrc.nist.gov/pubs/sp/800/171/r3/final,Requirements for protecting Controlled Unclassified Information in nonfederal systems,"Non-federal organizations, including defense and civilian contractors and their suppliers, that store, process or transmit Controlled Unclassified Information.","Applies to CUI in nonfederal systems and organizations, scoped to the environment where CUI is handled.","Requires implementation of security requirements for protecting CUI, a system security plan and plans of action for gaps. DFARS 252.204-7012 obliges many defense contractors to implement it and report scores, and CMMC assessments verify it. Revision 3 restructured the requirement families and tailoring approach.",mandatory,sometimes,System Security Plan|POA&M|self-assessment score|policies|CUI data flow diagram|assessment report,self-assessment at least annually; CMMC assessments every 3 years where required,"Contractual remedies including False Claims Act exposure for inaccurate representations, contract termination and loss of award eligibility.",cmmc|dfars-7012|nist-800-53|nist-800-172|fedramp,"Security requirements grouped into families such as access control, audit and accountability, configuration management, identification and authentication, and incident response.",2026-08-20,https://csrc.nist.gov/pubs/sp/800/171/r3/final|https://www.acquisition.gov/dfars/252.204-7012-safeguarding-covered-defense-information-and-cyber-incident-reporting.
nist-800-172,NIST SP 800-172,enhanced CUI requirements; APT protection,United States,US,security,standard,NIST,https://csrc.nist.gov/pubs/sp/800/172/final,Enhanced security requirements supplementing SP 800-171 for high-value CUI,"Defense contractors handling CUI associated with critical programs or high value assets, where enhanced protection is specified.",Applies as a supplement to SP 800-171 for selected systems and components identified by the contracting agency.,"Provides enhanced security requirements aimed at advanced persistent threats, including penetration-resistant architecture and cyber resiliency measures. Requirements apply only when specified by the federal agency or contract. It is used for CMMC Level 3 assessment content.",mandatory,sometimes,System Security Plan addendum|threat assessment|enhanced control evidence|assessment report,as specified by contract; CMMC Level 3 assessments every 3 years,Contractual remedies including loss of award eligibility and contract termination.,nist-800-171|cmmc|dfars-7012,"Enhanced requirements layered onto SP 800-171 families, focused on APT resilience, damage limitation and design-for-security.",2026-08-20,https://csrc.nist.gov/pubs/sp/800/172/final|https://csrc.nist.gov/pubs/sp/800/171/r3/final
nist-ssdf,NIST SP 800-218 Secure Software Development Framework,SSDF; secure software development framework,United States,US,security,framework,NIST,https://csrc.nist.gov/pubs/sp/800/218/final,Secure software development practices referenced by US federal software attestation requirements,"Software producers, including SaaS vendors and suppliers to U.S. federal agencies subject to secure software attestation.",Covers secure software development practices across the software development lifecycle for the producer's software.,"Describes practices grouped into preparing the organization, protecting software, producing well-secured software and responding to vulnerabilities. It is referenced by U.S. federal secure software development attestation requirements for software sold to agencies. It is guidance rather than a certification.",mixed,sometimes,secure SDLC policy|code review records|SAST and DAST results|SBOM|vulnerability disclosure policy|attestation form,continuous with attestation when required by federal buyers,"For federal sales, inaccurate attestations can create False Claims Act and contract-remedy exposure; otherwise no statutory penalty.",nist-800-53|soc2|iso27001|owasp-asvs,"Practice groups PO (prepare organization), PS (protect software), PW (produce well-secured software) and RV (respond to vulnerabilities).",2026-08-20,https://csrc.nist.gov/Projects/ssdf|https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf
nist-privacy-framework,NIST Privacy Framework,NIST PF,United States,US,privacy,framework,NIST,https://www.nist.gov/privacy-framework,Voluntary privacy risk management framework companion to the NIST CSF,"Organizations building a privacy risk management program, and, notably, controllers seeking the Tennessee affirmative defense tied to this framework.",Voluntary framework for managing privacy risk arising from data processing; scope is defined by the organization.,"Organizes privacy outcomes into functions and categories that organizations use to build current and target profiles alongside the NIST Cybersecurity Framework. It is voluntary, non-certifiable and technology-neutral. Tennessee's privacy statute provides an affirmative defense for programs that reasonably conform to it.",voluntary,no,privacy risk assessment|current and target profile|data inventory|policies|privacy program documentation|gap remediation plan,annual review recommended,No statutory penalty; can support an affirmative defense under Tennessee's privacy law.,tn-tipa|gdpr|ccpa-cpra|nist-csf|iso27701,"Core functions Identify-P, Govern-P, Control-P, Communicate-P and Protect-P, with categories, subcategories, profiles and implementation tiers.",2026-08-20,https://www.nist.gov/privacy-framework|https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.01162020.pdf
nist-ai-rmf,NIST AI Risk Management Framework,NIST AI RMF; AI RMF 1.0,United States,US,ai,framework,NIST,https://www.nist.gov/itl/ai-risk-management-framework,Voluntary framework for managing risks of artificial intelligence systems,"Organizations designing, developing, deploying or using AI systems that need a voluntary AI risk management approach.",Voluntary framework for AI risks across the AI lifecycle; scope is set by the organization and AI use cases.,"Organizes AI risk management into the Govern, Map, Measure and Manage functions with characteristics of trustworthy AI. It is voluntary and not certifiable, and is often paired with the companion Playbook and generative AI profile. Many buyers use it as the structure for AI governance evidence.",voluntary,no,AI use case inventory|AI risk assessment|model documentation|evaluation results|governance policy|incident process,continuous with periodic review,No statutory penalty; used as a reference in contracts and emerging regulatory expectations.,iso42001|eu-ai-act|nist-csf,"Four functions (Govern, Map, Measure, Manage) with categories and subcategories, plus trustworthiness characteristics.",2026-08-20,https://www.nist.gov/itl/ai-risk-management-framework|https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf
cis-controls,CIS Critical Security Controls,CIS Controls; CIS Top 18; Implementation Groups IG1-IG3,Global,Global,security,framework,Center for Internet Security,https://www.cisecurity.org/controls,Prioritized cyber hygiene control set maintained by the Center for Internet Security,"Any company with systems, SaaS or customer data that needs a prioritized security baseline, especially SMBs and startups.","Applies to the enterprise's assets, accounts, data and networks; implementation groups scale scope by organization size and risk.","Defines prioritized safeguards across 18 controls, grouped into Implementation Groups IG1 to IG3. IG1 is described as essential cyber hygiene for smaller organizations. The controls are voluntary, mapped to other frameworks, and not certifiable, though CIS offers self-assessment tooling.",voluntary,no,asset inventory|configuration baselines|patch records|access reviews|backup tests|logging configuration|gap assessment,annual review recommended,No statutory penalty; gaps commonly become findings in questionnaires and audit readiness reviews.,nist-csf|iso27001|soc2|cyber-essentials,"Eighteen controls with safeguards tiered across Implementation Groups IG1, IG2 and IG3.",2026-08-20,https://www.cisecurity.org/controls|https://www.cisecurity.org/controls/cis-controls-list
cis-benchmarks,CIS Benchmarks,CIS hardening benchmarks,Global,Global,security,guidance,Center for Internet Security,https://www.cisecurity.org/cis-benchmarks,"Consensus secure configuration baselines for operating systems, cloud, and applications","Any organization hardening operating systems, cloud services, containers, databases or network devices, often to satisfy audit configuration requirements.",Covers secure configuration baselines for specific technologies and versions rather than an organization-wide management system.,"Provides consensus-developed configuration recommendations with rationale, audit and remediation steps, generally organized into Level 1 and Level 2 profiles. Organizations select applicable benchmarks, document deviations and monitor drift, often using automated assessment tooling. There is no certification, though CIS Hardened Images and CIS-CAT support implementation and measurement.",voluntary,no,hardening standards|configuration baselines|benchmark scan reports|deviation approvals|drift monitoring evidence,continuous; benchmarks updated by CIS and re-scanned periodically,No statutory penalty; unhardened configurations commonly become audit findings.,cis-controls|soc2|iso27001|pci-dss,Recommendations are grouped by technology with Level 1 and Level 2 profiles and optional STIG profiles for some platforms.,2026-08-20,https://www.cisecurity.org/cis-benchmarks|https://www.cisecurity.org/cis-cat-pro
csa-star,CSA STAR,Cloud Security Alliance STAR; CAIQ; Cloud Controls Matrix; CCM,Global,Global,security,certification,Cloud Security Alliance,https://cloudsecurityalliance.org/star,"Cloud assurance registry with self-assessment, certification, and attestation levels based on the Cloud Controls Matrix",Cloud service providers and cloud-native SaaS vendors facing mature information security buyers.,"Covers the cloud service offering assessed against the Cloud Controls Matrix, at the level of assurance chosen.","Providers document controls against the CSA Cloud Controls Matrix and CAIQ and may publish results in the STAR Registry. Level 1 is self-assessment, Level 2 is third-party certification or attestation combined with ISO 27001 or SOC 2, and continuous monitoring options exist. Listing serves as a reusable trust artifact for cloud diligence.",voluntary,sometimes,CAIQ response|CCM control mapping|STAR registry listing|ISO 27001 certificate or SOC 2 report,annual for self-assessment; aligned to the underlying certification cycle for third-party levels,No statutory penalty; a stale registry entry undermines trust claims.,iso27001|soc2,"Based on the Cloud Controls Matrix domains covering areas such as identity, encryption, logging, supply chain and application security, with assurance levels 1 and 2.",2026-08-20,https://cloudsecurityalliance.org/star|https://cloudsecurityalliance.org/research/cloud-controls-matrix
owasp-asvs,OWASP Application Security Verification Standard,OWASP ASVS,Global,Global,security,standard,OWASP Foundation,https://owasp.org/www-project-application-security-verification-standard/,Open application security requirements and verification standard used in secure development programs,Development and security teams building or testing web applications and APIs.,Covers application-level security requirements for the application or API under review.,"Provides a catalog of verification requirements across levels of rigor that teams use for secure design, development and testing. It is a community standard with no formal certification body. It is often referenced in penetration test scopes and secure development policies.",voluntary,no,secure design requirements|test plans|penetration test report|code review records|remediation tickets,per release or annual review,unknown,nist-ssdf|soc2|iso27001|pci-dss,"Requirements grouped by chapters such as authentication, session management, access control, validation and cryptography, tiered across verification levels.",2026-08-20,https://owasp.org/www-project-application-security-verification-standard/|https://github.com/OWASP/ASVS
pci-dss,PCI DSS,Payment Card Industry Data Security Standard; PCI DSS v4.0.1,Global,Global,financial,standard,PCI Security Standards Council,https://www.pcisecuritystandards.org/standards/pci-dss/,Card data security standard enforced contractually by payment brands and acquirers,"Merchants and service providers that store, process or transmit cardholder data, or that can affect the security of card transactions.","Covers the cardholder data environment, connected systems and any people and processes with access to account data.","Requires implementation of technical and operational requirements across network security, data protection, vulnerability management, access control, monitoring and policy. Validation depends on merchant or service provider level and channel, using a Self-Assessment Questionnaire with an Attestation of Compliance or a Report on Compliance by a QSA. Version 4.0.1 is the current standard, with customized approach options and additional authentication and script-management requirements.",contractual,yes,network diagrams|cardholder data flow diagram|scan reports (ASV)|penetration test report|policies|SAQ or ROC|Attestation of Compliance,annual validation with quarterly ASV scans,"Card brand fines and increased transaction fees passed through acquirers, plus liability for breach costs; amounts are set contractually.",soc2|iso27001|nist-csf|glba-safeguards,"Twelve requirements grouped into six control objectives, with validation levels driven by transaction volume and channel and multiple SAQ types.",2026-08-20,https://www.pcisecuritystandards.org/document_library/|https://www.pcisecuritystandards.org/standards/pci-dss/
